title,description,imageUrl,price
Frye Mel HOBO Bag,Rated 3.9/5 from 37 Amazon shopper reviews.,https://m.media-amazon.com/images/I/91U2ojO6exL._AC_UL1500_.jpg,395.61
Marc Jacobs Women's The Leather Mini Tote Bag,Rated 4.8/5 from 309 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71wgkHWSU0L._AC_UL1500_.jpg,395.00
COACH Ellie File Handbag - C1648,Rated 4/5 from 11 Amazon shopper reviews.,https://m.media-amazon.com/images/I/61FcASju-WL._AC_UL1001_.jpg,395.00
COACH Polished Pebbled Leather Market Tote,Rated 4.5/5 from 133 Amazon shopper reviews.,https://m.media-amazon.com/images/I/81mAQLvWISL._AC_UL1500_.jpg,394.53
COACH Womens Rowan Satchel In Rainbow Signature Canvas IM/Khaki Multi,Rated 4.6/5 from 58 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71lHKmTW5-L._AC_UL1374_.jpg,389.00
BRAHMIN Bondi Large Duxbury Satchel Scallop One Size,Rated 5/5 from 1 Amazon shopper reviews.,https://m.media-amazon.com/images/I/81lE-fs6sHL._AC_UL1500_.jpg,385.21
COACH Women's Drew Satchel,Rated 4.6/5 from 33 Amazon shopper reviews.,https://m.media-amazon.com/images/I/91SWWA3imEL._AC_UL1500_.jpg,379.95
Tory Burch Women's Perry Small Tote Bag,Rated 4.5/5 from 53 Amazon shopper reviews.,https://m.media-amazon.com/images/I/61FbuTl6UEL._AC_UL1500_.jpg,378.90
BRAHMIN Melbourne Caroline Satchel,Rated 4.7/5 from 89 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71SXxdyZi5L._AC_UL1500_.jpg,369.43
Tory Burch Large Canvas Geo Logo Tote Bag (Gray multi),Rated 5/5 from 3 Amazon shopper reviews.,https://m.media-amazon.com/images/I/91fMN+Et2mL._AC_UL1500_.jpg,367.86
BRAHMIN Melbourne Small Finley Satchel,Rated 4.4/5 from 26 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71yDcmK+i9L._AC_UL1500_.jpg,365.00
Marc Jacobs Tote Bag,Rated 2.8/5 from 2 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71Y8eNHWUZL._AC_UL1408_.jpg,357.97
Michael Kors Gramercy Large Pebbled Leather Satchel,Rated 4.7/5 from 10 Amazon shopper reviews.,https://m.media-amazon.com/images/I/61G6yorMoTL._AC_UL1300_.jpg,354.00
Marc Jacobs Women's The Eclipse Bag,Rated 5/5 from 10 Amazon shopper reviews.,https://m.media-amazon.com/images/I/61Xn8QIloGL._AC_UL1500_.jpg,352.75
Michael Kors Sinclair Large East/West Grab Tote Chambray/Navy One Size,Rated 2.1/5 from 4 Amazon shopper reviews.,https://m.media-amazon.com/images/I/81OzB8SgQ4L._AC_UL1500_.jpg,351.95
"Kate Spade Jules Newbury Lane Saffiano Leather Large Tote Shoulder Bag Purse Handbag, Plum Berry",Rated 5/5 from 9 Amazon shopper reviews.,https://m.media-amazon.com/images/I/6100IreCwGL._AC_UL1500_.jpg,350.00
"Dooney & Bourke Handbag, Florentine Medium Russel Bag Tote",Rated 4.5/5 from 2 Amazon shopper reviews.,https://m.media-amazon.com/images/I/61mq1gUGWqL._AC_UL1500_.jpg,348.60
"Dooney & Bourke Handbag, Florentine Logo Lock Shoulder Bag",Rated 4.4/5 from 2 Amazon shopper reviews.,https://m.media-amazon.com/images/I/61xRVrm0CmL._AC_UL1500_.jpg,348.60
Tory Burch Women's Mcgraw Small Bucket Bag,Rated 4.6/5 from 27 Amazon shopper reviews.,https://m.media-amazon.com/images/I/812hoo+IQyS._AC_UL1500_.jpg,348.00
Michael Kors Fulton Large Shoulder Tote Brown,Rated 4.1/5 from 72 Amazon shopper reviews.,https://m.media-amazon.com/images/I/61DQ0RDBjOL._AC_UL1000_.jpg,348.00
Tory Burch Women's Mcgraw Camera Bag,Rated 4.5/5 from 52 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71qnLYQn2jS._AC_UL1500_.jpg,348.00
Michael Kors Tote,Rated 4.4/5 from 365 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71gDfasiJlL._AC_UL1080_.jpg,347.11
Michael Michael Kors Meredith Medium East/West Bonded Leather Tote Butternut,Rated 4/5 from 1 Amazon shopper reviews.,https://m.media-amazon.com/images/I/51f2uM65NwL._AC_UL1000_.jpg,346.23
BRAHMIN Melbourne Elaine Satchel,Rated 4.5/5 from 40 Amazon shopper reviews.,https://m.media-amazon.com/images/I/81GMw3lPoGS._AC_UL1500_.jpg,345.00
Tory Burch 87899 Black With Gold Hardware Women's Thea Mini Web Satchel,Rated 4.5/5 from 3 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71TFfvmD1RL._AC_UL1500_.jpg,343.81
Frye Melissa Simple Zip Tote,Rated 4.3/5 from 82 Amazon shopper reviews.,https://m.media-amazon.com/images/I/31G++LDDTgL._AC_.jpg,343.10
Coach Women's Gallery Tote (Signature Canvas - Rainbow - Khaki Multi),Rated 4.7/5 from 44 Amazon shopper reviews.,https://m.media-amazon.com/images/I/61NnZYbhmwL._AC_UL1000_.jpg,338.00
BRAHMIN Ombre Melbourne Caroline Satchel Rose One Size,Rated 4.5/5 from 2 Amazon shopper reviews.,https://m.media-amazon.com/images/I/81wrXXIRK2L._AC_UL1500_.jpg,334.31
Tory Burch Thea Web Flap Crossbody Women's Bag,Rated 4.8/5 from 18 Amazon shopper reviews.,https://m.media-amazon.com/images/I/81R6JHZZzwL._AC_UL1500_.jpg,333.45
MICHAEL Michael Kors Dalia Large Shoulder Tote (Navy),Rated 4.3/5 from 3 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71CQh48kKYL._AC_UL1467_.jpg,329.95
Michael Kors Large Savannah Satchel,Rated 4.4/5 from 79 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71hRrR7u7IL._AC_UL1232_.jpg,329.95
COACH Womens Color Block Coach Soft Swagger 27 SV/Black/Chalk Satchel,Rated 3.9/5 from 6 Amazon shopper reviews.,https://m.media-amazon.com/images/I/81txZ-l0QLL._AC_UL1500_.jpg,328.00
"Michael Kors Jet Set Travel Medium Sutton Handbag (Medium, Ballet)",Rated 5/5 from 5 Amazon shopper reviews.,https://m.media-amazon.com/images/I/81CuYfDBEvL._AC_UL1500_.jpg,328.00
"HOBO Merrin Tote Bag For Women - Genuine Leather Construction With Top Zipper Closure, Functional and Durable Stylish Bag",Rated 4.1/5 from 15 Amazon shopper reviews.,https://m.media-amazon.com/images/I/61LqlHAX-TL._AC_UL1500_.jpg,328.00
"Dooney & Bourke Handbag, Blakely Tammy Tote",Rated 3.2/5 from 3 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71OIB388nAL._AC_UL1500_.jpg,328.00
Kate Spade New York East Broadway Coal Tote Black,Rated 4/5 from 6 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71iJGzG5VlL._AC_UL1500_.jpg,328.00
BRAHMIN Ombre Melbourne Medium Asher Totes,Rated 4.8/5 from 14 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71PrTbkVa-L._AC_UL1500_.jpg,325.00
Marc Jacobs Women's The Denim Medium Tote Bag,Rated 4.8/5 from 158 Amazon shopper reviews.,https://m.media-amazon.com/images/I/91mrvKwfa2L._AC_UL1500_.jpg,325.00
Marc Jacobs Women's Snapshot DTM Camera Bag,Rated 4.8/5 from 7 Amazon shopper reviews.,https://m.media-amazon.com/images/I/61ySjqjm2RL._AC_UL1500_.jpg,325.00
BRAHMIN Large Duxbury Satchel,Rated 4.5/5 from 120 Amazon shopper reviews.,https://m.media-amazon.com/images/I/91AvdvfNKoL._AC_UL1500_.jpg,325.00
Michael Kors Jet Set Travel Large Drawstring Tote Center Stripe MK Signature Ballet PVC,Rated 4.1/5 from 17 Amazon shopper reviews.,https://m.media-amazon.com/images/I/71L2GgOnoCL._AC_UL1500_.jpg,325.00
